exam,q_no,scope,topic,question,options,source_key_raw,source_answer,study_answer,status,editor_note
69th BPSC,25,core,"Genetics, DNA & Biotechnology",What is the expanded form of the term ‘mRNA’ that has been widely discussed since the beginning of the pandemic?,Messenger Ribonucleic Acid | Mutant Ribonucleic Acid | Modified Ribonucleic Acid | Mnemonic Ribonucleic Acid,Messenger Ribonucleic Acid,Messenger Ribonucleic Acid,Messenger Ribonucleic Acid,source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,30,core,Nervous System & Senses,Input and output nerves meet at,liver | central nervous system | heart | None of the above,central nervous system,central nervous system,central nervous system,source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,46,extended,"Ecology, Environment & Conservation","Which State Government launched the State-Level Committee for Vulture Conservation (SLCVC), proposed by the national action for the protection of vultures in India?",Tamil Nadu | Sikkim | Assam | Meghalaya,Tamil Nadu,Tamil Nadu,Tamil Nadu,source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,47,extended,"Ecology, Environment & Conservation","Ten captive-bred Asian Giant Tortoises (Manouria emys), one of the largest tortoise species in mainland Asia, were recently released into which National Park of India?",Ntangki National Park | Periyar National Park | Pench National Park | Khangchendzonga National Park,Ntangki National Park,Ntangki National Park,Ntangki National Park,source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,53,extended,"Plant Form, Function & Classification","Tillyardembi Fossils of the world’s first plant pollinators, called Tillyardembiids, were discovered recently in which country?",Greece | India | Russia | China,Russia,Russia,Russia,source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,54,extended,"Ecology, Environment & Conservation","The ‘Lisbon Declaration’, which made headlines, is associated with the conservation of which entity?",Air | Mountains | Oceans | Freshwater glaciers,Oceans,Oceans,Oceans,source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,86,extended,"Ecology, Environment & Conservation",Which of the following National Parks/Wildlife Sanctuaries are in Bihar? 1. Valmiki National Park 2. Dudhwa National Park 3. Gajner Wildlife Sanctuary 4. Bhimbandh Wildlife Sanctuary,1 and 4 | 2 and 3 | 1 and 3 | 2 and 4,1 and 4,1 and 4,1 and 4,source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,87,extended,"Ecology, Environment & Conservation",Consider the following statements regarding the ‘Gangetic Dolphin’ : 1. Categorized as ‘endangered’ under IUCN’s Red List. 2. Does not have a crystalline eye lens. 3. Navigation and hunting by echolocation. 4. Recognized as India’s National Aquatic Animal. Which of the above statements are correct?,"Only 1, 2 and 4 | Only 2, 3 and 4 | Only 1, 3 and 4 | All of the above",All of the above,All of the above,All of the above,source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,93,extended,"Ecology, Environment & Conservation","Which one of the following is the world’s richest region from a marine biodiversity perspective, comprising twenty-one islands with estuaries, beaches, forests... coral reefs, salt marshes and mangroves?",Gulf of Mannar Biosphere Reserve | Nanda Devi Biosphere Reserve | Sunderbans Biosphere Reserve | Nilgiri Biosphere Reserve,Gulf of Mannar Biosphere Reserve,Gulf of Mannar Biosphere Reserve,Gulf of Mannar Biosphere Reserve,source-key,Answer follows the verified/source answer field in the supplied workbook.
70th BPSC,3,core,Digestion,Which of the following acid is secreted in the stomach?,Sulphuric acid | Nitric acid | Phosphoric acid | Hydrochloric acid,Hydrochloric acid,Hydrochloric acid,Hydrochloric acid,source-key,Answer follows the verified/source answer field in the supplied workbook.
70th BPSC,31,core,"Plant Form, Function & Classification",Which component of fertilizer is used for stimulating early growth purpose?,Potassium | Nitrogen | Oxygen | Phosphorus,Nitrogen (Commonly associated with early vegetative growth),Nitrogen (Commonly associated with early vegetative growth),Nitrogen (wording-dependent),key-sensitive,The workbook selects nitrogen for early vegetative growth; phosphorus is especially associated with early root development.
70th BPSC,39,extended,"Ecology, Environment & Conservation",In which city of Bihar the recently inaugurated National Dolphin Research Centre is located?,Darbhanga | Patna | Munger | Gaya,Patna,Patna,Patna,source-key,Answer follows the verified/source answer field in the supplied workbook.
70th BPSC,41,core,"Microbes, Disease & Immunity",Which of the following bacterial disease that is called as spleenic fever?,Typhoid | Anthrax | Cholera | None of the above,Anthrax,Anthrax,Anthrax,source-key,Answer follows the verified/source answer field in the supplied workbook.
70th BPSC,45,core,"Skeleton, Joints & Muscle",Which of the following radiation is used to get relief from body aches?,Infra-red radiation | UV radiation | Visible radiation | None of these,Infra-red radiation,Infra-red radiation,Infra-red radiation,source-key,Answer follows the verified/source answer field in the supplied workbook.
70th BPSC,56,core,"Plant Form, Function & Classification",In which organisms does spore formation occur as a mode of reproduction?,Fungi | Algae | Yeast | Fern,"Fungi (Fern is also correct, but Fungi is universally associated with this fundamental mode)","Fungi (Fern is also correct, but Fungi is universally associated with this fundamental mode)",More than one listed organism can form spores,ambiguous,"Fungi, many algae, yeast and ferns can all form spores in relevant life cycles; the workbook's single choice is defective."
70th BPSC,66,core,"Circulation, Blood & Immunity",Which of the following is the fluid part of the blood?,WBC | Plasma | Blood platelets | RBC,Plasma,Plasma,Plasma,source-key,Answer follows the verified/source answer field in the supplied workbook.
70th BPSC,79,core,Cell Biology,What is the structural and functional unit of life?,Cell | Organ | Tissue | Organism,Cell,Cell,Cell,source-key,Answer follows the verified/source answer field in the supplied workbook.
70th BPSC,120,core,"Plant Form, Function & Classification",Which of the following the chlorophyll in photosynthesis is used for?,Reduction of CO₂ | Breaking down water molecules | No function | Absorbing light,Absorbing light,Absorbing light,Absorbing light,source-key,Answer follows the verified/source answer field in the supplied workbook.
70th BPSC,134,core,Digestion,Which part of alimentary canal receives bile from the liver?,Stomach | Oesophagus | Small intestine | Large intestine,Small intestine,Small intestine,Small intestine,source-key,Answer follows the verified/source answer field in the supplied workbook.
70th BPSC,143,core,"Ecology, Environment & Conservation",The process of breaking down organic matter by micro organisms is called,Respiration | Photosynthesis | Decomposition | Fermentation,Decomposition,Decomposition,Decomposition,source-key,Answer follows the verified/source answer field in the supplied workbook.
70th BPSC,148,extended,"Ecology, Environment & Conservation",Which of the following is a major cause of air pollution?,Disposal of plastics | Burning of fossil fuels | Deforestation | Excessive use of pesticides,Burning of fossil fuels,Burning of fossil fuels,Burning of fossil fuels,source-key,Answer follows the verified/source answer field in the supplied workbook.
71st BPSC (2025),14,extended,"Ecology, Environment & Conservation",Which organisation recognized the Nagi bird sanctuary Site as an Important Bird and Biodiversity Area (IBA)?,UNESCO | World Wildlife Fund | Bird Life International | More than one of the above,,,BirdLife International,added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),40,extended,"Microbes, Disease & Immunity",Which of the following statement/s is/are NOT CORRECT about the U-WIN portal of Ministry of Health and Family welfare?,It provides QR-based e-vaccination certificates | It facilitates the creation of Ayushman Bharat Health Accounts (ABHA)... | The portal is accessible in 11 regional languages | None of the above,,,None of the statements is incorrect,added-answer,All three listed U-WIN features are supported; answer absent in supplied workbook.
71st BPSC (2025),112,extended,"Ecology, Environment & Conservation",Kanha National Park is established in -,Uttarakhand | Assam | Madhya Pradesh | Maharashtra,,,Madhya Pradesh,added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),114,extended,"Ecology, Environment & Conservation",Which of the following parks/sanctuaries come under the project tiger in Bihar?,Valmiki National Park | Udaypur Wildlife Sanctuary | Bhimbandh Wildlife Sanctuary | None of these,,,Valmiki National Park / Valmiki Tiger Reserve,added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),115,extended,Animal Diversity & Applied Biology,Which of the following is the state animal of Bihar?,Cow | Bull | Buffalo | Horse,,,Bull/Ox (exam-oriented answer),key-sensitive,Secondary lists conflict between Bull/Ox and Gaur; retain the exam-oriented option and revise from the official key used for your paper set.
71st BPSC (2025),134,core,"Microbes, Disease & Immunity",Which metal compound is used for treatment of carcinoma?,Platinum | Chromium | Iron | Chlorine,,,"Platinum compound (e.g., cisplatin)",added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),135,core,Endocrine & Reproduction,Which compound is used in contraceptive pills?,Cholecalciferol | Levonorgestrel | Venlafaxine | Cetrizine,,,Levonorgestrel,added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),138,core,"Genetics, DNA & Biotechnology",Full form of PHBV biodegradable polymer:,Polyhydroxy butyl vaniline | Poly hydroxy butane veratric acid | Poly (3 - Hydroxy butyrate-co-3 hydroxy valerate) | Poly hydroxy butyric acid veratric acid,,,Poly(3-hydroxybutyrate-co-3-hydroxyvalerate),added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),139,core,Endocrine & Reproduction,Hormones are secreted by:,Sebaceous glands | Reproductive glands | Exocrine glands | Endocrine glands,,,Endocrine glands,added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),140,core,"Microbes, Disease & Immunity",Which one of the following term characterizes the interaction between herpes simplex virus and a human?,Parasitism | Symbiosis | Endosymbiosis | Endoparasitism,,,Parasitism; more specifically intracellular endoparasitism,ambiguous,Options A and D overlap; answer absent in supplied workbook.
71st BPSC (2025),141,core,"Circulation, Blood & Immunity",Which class of immunoglobulin is the first to be produced in response to an infection?,IgG | IgA | IgM | IgE,,,IgM,added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),142,core,Cell Biology,The biological membranes are composed of:,"Lipids and proteins in varying combinations which are specific to each species, cell type and organelle | Lipids only | Proteins only | None of the above",,,Lipids and proteins in species/cell-specific proportions,added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),143,core,"Genetics, DNA & Biotechnology",Which of the following is a non-sense codon?,UAA | AUG | UUU | UGC,,,UAA,added-answer,UAA is one of the three stop/nonsense codons; answer absent in workbook.
71st BPSC (2025),144,core,"Ecology, Environment & Conservation",The species which are in danger of extinction are known as?,Vulnerable | Rare | Endangered | Extinct,,,Endangered,added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),145,extended,"Plant Form, Function & Classification",Which of the following is a Kharif crop?,Sugarcane | Barley | Gram | Wheat,,,Sugarcane,added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),146,core,"Plant Form, Function & Classification",Xylem in plants is responsible for following function:,Transport of water and dissolved minerals | Transport of foods | Transport of oxygen and other gases | Transport of essential amino acids,,,Transport of water and dissolved minerals,added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),147,core,"Plant Form, Function & Classification",Who was first to use the characteristics of vascular tissues in the classification of plants?,Engler and Prantl | Bentham and Hooker | AP de Condolle | More than one of the above,,,A. P. de Candolle,added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),148,core,"Plant Form, Function & Classification",The part which we eat in Mango is:,Epicarp | Mesocarp | Endocarp | None of the above,,,Mesocarp,added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),149,extended,"Ecology, Environment & Conservation",Ozone day is celebrated on:,16th September | 5th June | 21st April | 5th December,,,16 September,added-answer,Answer absent in supplied workbook; content answer added by editor.
71st BPSC (2025),150,core,"Ecology, Environment & Conservation","In mycorrhizal association, the advantage of plant is:",Protection | Food | (A) and (B) both | Increased mineral absorption and diseases protection,,,Increased mineral absorption and protection from disease,added-answer,Answer absent in supplied workbook; content answer added by editor.
