qid,year,subject,auto_tier,auto_best,expert_tier,expert_link,link_src,advantage,transform,weight,text_snippet
2017_P_61,2017,Polity,0,,,,auto,,,0.00,"With reference to 'National Skills Qualification Framework (NSQF)', which of the statements given below is/are correct? 1. Under NSQF, a learner can a"
2017_P_62,2017,History,4,2012_P_27,3,2012_P_27,expert,elimination,entity-bridge,1.00,"In the context of Indian history, the principle of 'Dyarchy (diarchy)' refers to"
2017_P_63,2017,Polity,1,2013_P_68,0,,expert,none,spurious,5.40,Consider the following in respect of 'National Career Service': 1. National Career Service is an initiative of the Department of Personnel and Trainin
2017_P_64,2017,Economy,1,2016_P_29,,2016_P_29,auto,,,0.00,"Which of the following statements best describes the term 'Scheme for Sustainable Structuring of Stressed Assets (S4A)', recently seen in the news?"
2017_P_65,2017,Geography,1,2016_P_55,1,2016_P_55,expert,pattern,weak-association,5.40,Consider the following statements: 1. Climate and Clean Air Coalition (CCAC) to Reduce Short Lived Climate Pollutants is a unique initiative of G20 gr
2017_P_66,2017,Geography,3,2011_P_51,,2011_P_51,auto,,,0.00,"With reference to 'Indian Ocean Dipole (IOD)' sometimes mentioned in the news while forecasting Indian monsoon, which of the following statements is/a"
2017_P_67,2017,Environment,3,2014_P_46,,2013_P_84,expert,,,0.00,"If you want to see gharials in their natural habitat, which one of the following is the best place to visit?"
2017_P_68,2017,Polity,0,,,,auto,,,0.00,Consider the following in respect of Indian Ocean Naval Symposium (IONS): 1. Inaugural IONS was held in India in 2015 under the chairmanship of the In
2017_P_69,2017,Art & Culture,4,2010_P_54,2,2010_P_54,expert,elimination,mechanism-transfer,1.00,The painting of Bodhisattva Padmapani is one of the most famous and oft-illustrated paintings at
2017_P_7,2017,Polity,5,2002_P_43,3,2002_P_43,expert,conceptual,paraphrase-repeat,1.00,Which principle among the following was added to the Directive Principles of State Policy by the 42nd Amendment to the Constitution?
2017_P_70,2017,Art & Culture,1,2009_P_92,,2009_P_92,auto,,,0.00,Consider the following pairs: Traditions Communities 1. Chaliha Sahib Festival - Sindhis 2. Nanda Raj Jaat Yatra - Gonds 3. Wari-Warkari - Santhals Wh
2017_P_71,2017,Geography,3,2001_P_61,,2001_P_61,auto,,,0.00,Which of the following practices can help in water conservation in agriculture? 1. Reduced or zero tillage of the land 2. Applying gypsum before irrig
2017_P_72,2017,Economy,3,2011_P_56,,2011_P_56,auto,,,0.00,Consider the following statements: The nation-wide 'Soil Health Card Scheme' aims at 1. expanding the cultivable area under irrigation. 2. enabling th
2017_P_73,2017,Environment,3,2013_P_26,,2013_P_26,auto,,,0.00,Consider the following pairs: Commonly used / consumed materials Unwanted or controversial chemicals likely to be found in them 1. Lipstick - Lead 2. 
2017_P_74,2017,Science & Technology,3,2002_P_55,,2002_P_55,auto,,,0.00,Organic Light Emitting Diodes (OLEDs) are used to create digital display in many devices. What are the advantages of OLED displays over Liquid Crystal
2017_P_75,2017,Art & Culture,3,2013_P_54,,2013_P_54,auto,,,0.00,Which of the following is/are famous for Sun temples? 1. Arasavalli 2. Amarakantak 3. Omkareshwar Select the correct answer using the code given below
2017_P_76,2017,Polity,3,2012_P_9,,2012_P_9,auto,,,0.00,"Consider the following statements: 1. In the election for Lok Sabha or State Assembly, the winning candidate must get at least 50 percent of the votes"
2017_P_77,2017,Economy,3,2013_P_80,,2013_P_80,auto,,,0.00,Which of the following has/have occurred in India after its liberalization of economic policies in 1991? 1. Share of agriculture in GDP increased enor
2017_P_78,2017,Science & Technology,1,2004_P_93,,2004_P_93,auto,,,0.00,What is the application of Somatic Cell Nuclear Transfer Technology?
2017_P_79,2017,Economy,3,2016_P_4,3,2016_P_4,auto,conceptual,entity-bridge,7.05,Consider the following statements: 1. National Payments Corporation of India (NPCI) helps in promoting the financial inclusion in the country. 2. NPCI
2017_P_8,2017,Polity,1,2002_P_17,,2002_P_17,auto,,,0.00,Which one of the following statements is/are correct? A) Rights are claims of the State against the citizens. B) Rights are privileges which are incor
2017_P_80,2017,Environment,1,2016_P_6,,2016_P_6,auto,,,0.00,The term 'M-STRIPES' is sometimes seen in the news in the context of
2017_P_81,2017,Economy,3,2012_P_33,,2012_P_33,auto,,,0.00,What is/are the most likely advantages of implementing 'Goods and Services Tax (GST)'? 1. It will replace multiple taxes collected by multiple authori
2017_P_82,2017,Polity,1,2002_P_21,1,2002_P_21,expert,pattern,weak-association,5.40,'Broad-based Trade and Investment Agreement (BTIA)' is sometimes seen in the news in the context of negotiations held between India and
2017_P_83,2017,Economy,1,1997_P_33,1,1997_P_33,expert,pattern,weak-association,5.40,Consider the following statements: 1. India has ratified the Trade Facilitation Agreement (TFA) of WTO. 2. TFA is a part of WTO's Bali Ministerial Pac
2017_P_84,2017,Geography,2,2009_P_54,1,2009_P_54,expert,pattern,weak-association,1.00,What is the importance of developing Chabahar Port by India?
2017_P_85,2017,Polity,0,,0,,expert,none,spurious,3.86,"In India, it is legally mandatory for which of the following to report on cyber security incidents? 1. Service providers 2. Data centres 3. Body corpo"
2017_P_86,2017,Polity,0,,,,auto,,,0.00,Right to vote and to be elected in India is a
2017_P_87,2017,Science & Technology,3,2010_P_36,,2010_P_36,auto,,,0.00,What is the purpose of 'evolved Laser Interferometer Space Antenna (eLISA)' project?
2017_P_88,2017,Polity,1,2011_P_32,,2011_P_32,auto,,,0.00,What is the purpose of 'Vidyanjali Yojana'? 1. To enable the famous foreign educational institutions to open their campuses in India. 2. To increase t
2017_P_89,2017,Polity,0,,,,auto,,,0.00,What is the aim of the programme 'Unnat Bharat Abhiyan'?
2017_P_9,2017,Polity,1,2016_P_37,,2016_P_37,auto,,,0.00,Which of the following gives 'Global Gender Gap Index' ranking to the countries of the world?
2017_P_90,2017,Polity,4,2001_P_43,3,2001_P_43,expert,conceptual,entity-bridge,1.00,Consider the following statements: 1. The Election Commission of India is a five-member body. 2. Union Ministry of Home Affairs decides the election s
2017_P_91,2017,Polity,4,2015_P_19,3,2015_P_19,expert,conceptual,entity-bridge,1.00,"In India, if a species of tortoise is declared protected under Schedule I of the Wildlife (Protection) Act, 1972, what does it imply?"
2017_P_92,2017,Polity,4,1997_P_79,2,1997_P_79,expert,elimination,mechanism-transfer,1.00,"In India, Judicial Review implies"
2017_P_93,2017,History,4,1998_P_72,4,1998_P_72,auto,answerability,entity-bridge,1.00,"With reference to Indian freedom struggle, consider the following events: 1. Mutiny in Royal Indian Navy 2. Quit India Movement launched 3. Second Rou"
2017_P_94,2017,Economy,3,2001_P_71,,2001_P_71,auto,,,0.00,Consider the following statements: 1. Tax revenue as a percent of GDP of India has steadily increased in the last decade. 2. Fiscal deficit as a perce
2017_P_95,2017,Environment,3,2014_P_9,1,2014_P_9,expert,pattern,weak-association,7.05,Recently there was a proposal to translocate some of the lions from their natural habitat in Gujarat to which one of the following sites?
2017_P_96,2017,Polity,4,2001_P_49,3,2014_P_60,expert,conceptual,entity-bridge,1.00,Which of the following are not necessarily the consequences of the proclamation of the President's rule in a State? 1. Dissolution of the State Legisl
2017_P_97,2017,Polity,3,2008_P_100,,2008_P_100,auto,,,0.00,Which of the following are envisaged by the Right against Exploitation in the Constitution of India? 1. Prohibition of traffic in human beings and for
2017_P_98,2017,Geography,0,,,,auto,,,0.00,Which of the following is geographically closest to Great Nicobar?
2017_P_99,2017,Polity,0,,,,auto,,,0.00,"Out of the following statements, choose the one that brings out the principle underlying the Cabinet form of Government:"
2018_P_1,2018,Polity,3,2017_P_76,1,2017_P_76,expert,pattern,weak-association,7.05,"Consider the following statements: 1. In the first Lok Sabha, the single largest party in the opposition was the Swatantra Party. 2. In the Lok Sabha,"
2018_P_10,2018,Economy,3,2001_P_80,,2001_P_80,auto,,,0.00,Consider the following statements: 1. The quantity of imported edible oils is more than the domestic production of edible oils in the last five years.
2018_P_100,2018,Economy,1,2012_P_31,,2012_P_31,auto,,,0.00,"With reference to organic farming in India, consider the following statements: 1. 'The National Programme for Organic Production' (NPOP) is operated u"
2018_P_11,2018,History,3,1998_P_55,,2001_P_79,expert,,,0.00,"He wrote biographies of Mazzini, Garibaldi, Shivaji and Shrikrishna; stayed in America for some time; and was also elected to the Central Assembly. He"
2018_P_12,2018,Polity,3,2003_P_98,,2003_P_98,auto,,,0.00,"Consider the following statements: 1. Aadhaar card can be used as a proof of citizenship or domicile. 2. Once issued, Aadhaar number cannot be deactiv"
2018_P_13,2018,Geography,3,2015_P_77,,2015_P_77,auto,,,0.00,Which of the following has/have shrunk immensely/dried up in the recent past due to human activities? 1. Aral Sea 2. Black Sea 3. Lake Baikal Select t
2018_P_14,2018,Polity,0,,1,2016_P_37,expert,pattern,expert-verified-weak,3.86,"""Rule of Law Index"" is released by which of the following?"
2018_P_15,2018,Economy,0,,,,auto,,,0.00,Which one of the following links all the ATMs in India?
2018_P_16,2018,Economy,3,2003_P_96,,2003_P_96,auto,,,0.00,Consider the following statements: 1. Capital Adequacy Ratio (CAR) is the amount that banks have to maintain in the form of their own funds to offset 
2018_P_17,2018,Polity,3,2017_P_43,,2017_P_43,auto,,,0.00,"The identity platform 'Aadhaar' provides open ""Application Programming Interfaces (APIs)"". What does it imply? 1. It can be integrated into any electr"
2018_P_18,2018,Polity,1,2004_P_86,,2004_P_86,auto,,,0.00,"Very recently, in which of the following countries have lakhs of people either suffered from severe famine/acute malnutrition or died due to starvatio"
2018_P_19,2018,History,3,2002_P_79,,2002_P_79,auto,,,0.00,"Regarding Wood's Dispatch, which of the following statements are true? 1. Grants-in-Aid system was introduced. 2. Establishment of universities was re"
2018_P_2,2018,Geography,5,2013_P_91,5,2013_P_91,auto,answerability,paraphrase-repeat,1.00,Which of the following leaf modifications occur(s) in the desert areas to inhibit water loss? 1. Hard and waxy leaves 2. Tiny leaves 3. Thorns instead
2018_P_20,2018,Polity,1,2012_P_56,,2012_P_56,auto,,,0.00,"With reference to the Parliament of India, which of the following Parliamentary Committees scrutinizes and reports to the House whether the powers to "
2018_P_21,2018,Polity,3,2011_P_83,,2011_P_83,auto,,,0.00,"Consider the following statements: 1. As per the Right to Education (RTE) Act, to be eligible for appointment as a teacher in a State, a person would "
2018_P_22,2018,Art & Culture,1,2009_P_92,,2009_P_92,auto,,,0.00,Consider the following pairs: Tradition State 1. Chapchar Kut festival Mizoram 2. Khongjom Parba ballad Manipur 3. Thang-Ta dance Sikkim Which of the 
2018_P_23,2018,Polity,1,2017_P_24,,2017_P_24,auto,,,0.00,"Consider the following statements: 1. The Food Safety and Standards Act, 2006 replaced the Prevention of Food Adulteration Act, 1954. 2. The Food Safe"
2018_P_24,2018,Polity,1,2016_P_72,,2016_P_72,auto,,,0.00,"The term ""two-state solution"" is sometimes mentioned in the news in the context of the affairs of"
2018_P_25,2018,Polity,3,2002_P_95,,2002_P_95,auto,,,0.00,"With reference to the provisions made under the National Food Security Act, 2013, consider the following statements : 1. The families coming under the"
2018_P_26,2018,Polity,5,2010_P_16,4,2010_P_16,expert,answerability,paraphrase-repeat,1.00,"India enacted The Geographical Indications of Goods (Registration and Protection) Act, 1999 in order to comply with the obligations to"
2018_P_27,2018,Economy,3,2008_P_47,2,2008_P_47,expert,conceptual,entity-bridge,7.05,"Consider the following statements: 1. In India, State Governments do not have the power to auction non-coal mines. 2. Andhra Pradesh and Jharkhand do "
2018_P_28,2018,Economy,1,2017_P_43,,2017_P_43,auto,,,0.00,"With reference to digital payments, consider the following statements: 1. BHIM app allows the user to transfer money to anyone with a UPI-enabled bank"
2018_P_29,2018,Geography,3,2003_P_24,,2003_P_24,auto,,,0.00,"Among the following cities, which one lies on a longitude closest to that of Delhi?"
2018_P_3,2018,Economy,1,2011_P_82,,2011_P_82,auto,,,0.00,"As per the NSSO 70th Round ""Situation Assessment Survey of Agricultural Households"", consider the following statements: 1. Rajasthan has the highest p"
2018_P_30,2018,Polity,1,2015_P_49,,2015_P_49,auto,,,0.00,International Labour Organization's Conventions 138 and 182 are related to
2018_P_31,2018,Polity,4,2000_P_53,3,2000_P_53,expert,conceptual,paraphrase-repeat,1.00,"Regarding Money Bill, which of the following statements is not correct?"
2018_P_32,2018,Polity,3,1999_P_8,,1999_P_8,expert,,,0.00,"With reference to the election of the President of India, consider the following statements: 1. The value of the vote of each MLA varies from State to"
2018_P_33,2018,Science & Technology,4,2004_P_93,2,2004_P_93,expert,elimination,mechanism-transfer,1.00,"In the Indian context, what is the implication of ratifying the 'Additional Protocol' with the 'International Atomic Energy Agency (IAEA)'?"
2018_P_34,2018,Polity,3,2011_P_48,,2011_P_48,auto,,,0.00,Consider the following countries: 1. Australia 2. Canada 3. China 4. India 5. Japan 6. USA Which of the above are among the 'free-trade partners' of A
2018_P_35,2018,Geography,1,2017_P_52,,2017_P_52,auto,,,0.00,"With reference to the 'Global Alliance for Climate-Smart Agriculture (GACSA)', which of the following statements is/are correct? 1. GACSA is an outcom"
2018_P_36,2018,Polity,1,2016_P_84,,2016_P_84,auto,,,0.00,"Which of the following is/are the aim/aims of ""Digital India"" Plan of the Government of India? 1. Formation of India's own Internet companies like Chi"
2018_P_37,2018,Geography,1,2014_P_36,1,2014_P_36,expert,pattern,weak-association,5.40,Consider the following pairs: Towns sometimes mentioned in news Country 1. Aleppo Syria 2. Kirkuk Yemen 3. Mosul Palestine 4. Mazar-i-sharif Afghanist
2018_P_38,2018,Polity,2,2000_P_51,3,2000_P_51,expert,elimination,mechanism-transfer,1.00,"In the Federation established by The Government of India Act of 1935, residuary powers were given to the"
2018_P_39,2018,Polity,3,2007_P_7,,2007_P_7,auto,,,0.00,Consider the following statements: 1. The Speaker of the Legislative Assembly shall vacate his/her office if he/she ceases to be a member of the Assem
2018_P_4,2018,Polity,3,2012_P_4,,2012_P_4,auto,,,0.00,How is the National Green Tribunal (NGT) different from the Central Pollution Control Board (CPCB)? 1. The NGT has been established by an Act whereas 
2018_P_40,2018,Polity,0,,,,auto,,,0.00,Which one of the following reflects the most appropriate relationship between law and liberty?
2018_P_41,2018,Polity,3,2015_P_82,,2015_P_82,auto,,,0.00,Consider the following statements: 1. No criminal proceedings shall be instituted against the Governor of a State in any court during his term of offi
2018_P_42,2018,Art & Culture,3,2013_P_54,,2013_P_54,auto,,,0.00,"The well-known painting ""Bani Thani"" belongs to the"
2018_P_43,2018,Science & Technology,0,,,,auto,,,0.00,"What is ""Terminal High Altitude Area Defense (THAAD)"", sometimes seen in the news?"
2018_P_44,2018,Art & Culture,3,2017_P_12,1,2017_P_12,expert,pattern,weak-association,7.05,"With reference to cultural history of India, consider the following statements: 1. Most of the Tyagaraja Kritis are devotional songs in praise of Lord"
2018_P_45,2018,Polity,0,,,,auto,,,0.00,"Which of the following are regarded as the main features of the ""Rule of Law""? 1. Limitation of powers 2. Equality before law 3. People's responsibili"
2018_P_46,2018,Economy,0,,,,auto,,,0.00,Which one of the following statements correctly describes the meaning of legal tender money?
2018_P_47,2018,Economy,0,,,,auto,,,0.00,"If a commodity is provided free to the public by the Government, then"
2018_P_48,2018,Economy,1,1998_P_60,1,1998_P_60,expert,pattern,weak-association,5.40,"Increase in absolute and per capita real GNP do not connote a higher level of economic development, if"
2018_P_49,2018,Economy,1,1999_P_40,0,,expert,none,spurious,5.40,Human capital formation as a concept is better explained in terms of a process which enables 1. individuals of a country to accumulate more capital. 2
2018_P_5,2018,Polity,1,1999_P_14,,1999_P_14,auto,,,0.00,Consider the following statements: 1. The Parliament of India can place a particular law in the Ninth Schedule of the Constitution of India. 2. The va
2018_P_50,2018,Economy,1,2012_P_76,0,,expert,none,spurious,5.40,"Despite being a high saving economy, capital formation may not result in significant increase in output due to"
2018_P_51,2018,History,0,,,,auto,,,0.00,"After the Santhal Uprising subsided, what was/were the measure/measures taken by the colonial government? 1. The territories called 'Santhal Paraganas"
2018_P_52,2018,History,0,,,,auto,,,0.00,"Economically, one of the results of the British rule in India in the 19th century was the"
2018_P_53,2018,Polity,3,2011_P_32,,2011_P_32,auto,,,0.00,"If the President of India exercises his power as provided under Article 356 of the Constitution in respect of a particular State, then"
2018_P_54,2018,Art & Culture,0,,,,auto,,,0.00,Consider the following pairs: Craft Heritage of 1. Puthukkuli shawls Tamil Nadu 2. Sujni embroidery Maharashtra 3. Uppada Jamdani saris Karnataka Whic
2018_P_55,2018,Science & Technology,1,2004_P_41,,2004_P_41,auto,,,0.00,In which of the following areas can GPS technology be used? 1. Mobile phone operations 2. Banking operations 3. Controlling the power grids Select the
2018_P_56,2018,Economy,4,2001_P_48,3,2001_P_48,expert,conceptual,entity-bridge,1.00,Consider the following statements: 1. The Reserve Bank of India manages and services Government of India Securities but not any State Government Secur
2018_P_57,2018,Geography,1,2012_P_20,,2012_P_20,auto,,,0.00,Consider the following statements: 1. The Earth's magnetic field has reversed every few hundred thousand years. 2. When the Earth was created more tha
2018_P_58,2018,Science & Technology,0,,,,auto,,,0.00,"The terms 'WannaCry, Petya and EternalBlue' sometimes mentioned in the news recently are related to"
2018_P_59,2018,Environment,3,2003_P_19,1,2014_P_1,expert,pattern,weak-association,7.05,"With reference to the circumstances in Indian agriculture, the concept of ""Conservation Agriculture"" assumes significance. Which of the following fall"
2018_P_6,2018,Economy,1,2016_P_18,1,2016_P_18,expert,pattern,weak-association,5.40,"Which one of the following best describes the term ""Merchant Discount Rate"" sometimes seen in news?"
2018_P_60,2018,Geography,0,,0,,expert,none,spurious,3.86,"The term ""sixth mass extinction/sixth extinction"" is often mentioned in the news in the context of the discussion of"
2018_P_61,2018,Science & Technology,3,2011_P_2,,2011_P_2,auto,,,0.00,"With reference to the Indian Regional Navigation Satellite System (IRNSS), consider the following statements: 1. IRNSS has three satellites in geostat"
2018_P_62,2018,Science & Technology,1,2008_P_46,,2008_P_46,auto,,,0.00,Consider the following phenomena : 1. Light is affected by gravity. 2. The Universe is constantly expanding. 3. Matter warps its surrounding space-tim
2018_P_63,2018,Science & Technology,3,2012_P_64,,2012_P_64,auto,,,0.00,"With reference to the Genetically Modified mustard (GM mustard) developed in India, consider the following statements: 1. GM mustard has the genes of "
2018_P_64,2018,Science & Technology,3,2016_P_84,1,2016_P_84,expert,pattern,weak-association,7.05,Consider the following pairs: Terms sometimes seen in news Context/Topic 1. Belle II experiment Artificial Intelligence 2. Blockchain technology Digit
2018_P_65,2018,Geography,0,,,,auto,,,0.00,"Which of the following statements best describes ""carbon fertilization""?"
2018_P_66,2018,Environment,3,2005_P_45,,2005_P_45,auto,,,0.00,"When the alarm of your smartphone rings in the morning, you wake up and tap it to stop the alarm which causes your geyser to be switched on automatica"
2018_P_67,2018,Economy,3,2015_P_18,,2015_P_18,auto,,,0.00,"With reference to solar power production in India, consider the following statements : 1. India is the third largest in the world in the manufacture o"
2018_P_68,2018,History,4,2008_P_55,3,2008_P_55,expert,conceptual,entity-bridge,1.00,The staple commodities of export by the English East India Company from Bengal in the middle of the 18th century were
2018_P_69,2018,History,3,2007_P_52,,2007_P_52,auto,,,0.00,Which one of the following is a very significant aspect of the Champaran Satyagraha?
2018_P_7,2018,Science & Technology,3,2011_P_48,,2011_P_48,auto,,,0.00,What is/are the consequence/consequences of a country becoming the member of the 'Nuclear Suppliers Group'? 1. It will have access to the latest and m
2018_P_70,2018,History,0,,1,2017_P_24,expert,pattern,expert-verified-weak,3.86,"Who among the following were the founders of the ""Hind Mazdoor Sabha"" established in 1948?"
2018_P_71,2018,Art & Culture,0,,,,auto,,,0.00,"With reference to the religious practices in India, the ""Sthanakvasi"" sect belongs to"
2018_P_72,2018,Art & Culture,3,1998_P_39,,1998_P_39,auto,,,0.00,"With reference to the cultural history of India, consider the following statements: 1. White marble was used in making Buland Darwaza and Khankah at F"
2018_P_73,2018,History,0,,,,auto,,,0.00,Which one of the following foreign travellers elaborately discussed about diamonds and diamond mines of India?
2018_P_74,2018,Art & Culture,3,2012_P_72,,2012_P_72,auto,,,0.00,"With reference to Indian history, who among the following is a future Buddha, yet to come to save the world?"
2018_P_75,2018,History,3,2010_P_81,,2010_P_81,auto,,,0.00,Which one of the following statements does not apply to the system of Subsidiary Alliance introduced by Lord Wellesley?
2018_P_76,2018,History,3,2002_P_59,,2002_P_59,auto,,,0.00,"Which of the following led to the introduction of English Education in India? 1. Charter Act of 1813 2. General Committee of Public Instruction, 1823 "
2018_P_77,2018,Geography,3,2002_P_60,,2002_P_60,auto,,,0.00,Which one of the following is an artificial lake?
2018_P_78,2018,Economy,3,2017_P_3,,2017_P_3,auto,,,0.00,"With reference to Pradhan Mantri Kaushal Vikas Yojana, consider the following statements: 1. It is the flagship scheme of the Ministry of Labour and E"
2018_P_79,2018,History,0,,,,auto,,,0.00,"In 1920, which of the following changed its name to ""Swarajya Sabha""?"
2018_P_8,2018,Economy,3,1999_P_17,,1999_P_17,auto,,,0.00,"With reference to India's decision to levy an equalization tax of 6% on online advertisement services offered by non-resident entities, which of the f"
2018_P_80,2018,History,0,,0,,expert,none,spurious,3.86,Which among the following events happened earliest ?
2018_P_81,2018,Geography,2,2015_P_14,0,,expert,none,spurious,1.00,Which of the following is/are the possible consequence/s of heavy sand mining in riverbeds? 1. Decreased salinity in the river 2. Pollution of groundw
2018_P_82,2018,Environment,3,2011_P_47,1,2011_P_47,expert,pattern,weak-association,7.05,"With reference to agricultural soils, consider the following statements: 1. A high content of organic matter in soil drastically reduces its water hol"
2018_P_83,2018,Geography,0,,,,auto,,,0.00,"The Partnership for Action on Green Economy (PAGE), a UN mechanism to assist countries transition towards greener and more inclusive economies, emerge"
2018_P_84,2018,Science & Technology,3,2016_P_5,,2016_P_5,auto,,,0.00,"""3D printing"" has applications in which of the following? 1. Preparation of confectionery items 2. Manufacture of bionic ears 3. Automotive industry 4"
2018_P_85,2018,Geography,1,2000_P_36,,2000_P_36,auto,,,0.00,Consider the following statements: 1. The Barren Island volcano is an active volcano located in the Indian territory. 2. Barren Island lies about 140 
2018_P_86,2018,Environment,1,2015_P_43,,2015_P_43,auto,,,0.00,Why is a plant called Prosopis juliflora often mentioned in news?
2018_P_87,2018,Environment,3,2007_P_47,,2007_P_47,auto,,,0.00,Consider the following statements : 1. Most of the world's coral reefs are in tropical waters. 2. More than one-third of the world's coral reefs are l
2018_P_88,2018,Environment,4,2010_P_55,2,2010_P_55,expert,elimination,mechanism-transfer,1.00,"""Momentum for Change: Climate Neutral Now"" is an initiative launched by"
2018_P_89,2018,History,3,2005_P_86,,2005_P_86,auto,,,0.00,"With reference to educational institutions during colonial rule in India, consider the following pairs: Institution Founder 1. Sanskrit College at Ben"
2018_P_9,2018,Economy,3,2010_P_25,,2010_P_25,auto,,,0.00,Consider the following statements: 1. The Fiscal Responsibility and Budget Management (FRBM) Review Committee Report has recommended a debt to GDP rat
2018_P_90,2018,Geography,1,2014_P_36,,2014_P_36,auto,,,0.00,Consider the following pairs: Regions sometimes mentioned in news Country 1. Catalonia Spain 2. Crimea Hungary 3. Mindanao Philippines 4. Oromia Niger
2018_P_91,2018,History,1,2017_P_93,1,2017_P_93,expert,pattern,weak-association,5.40,Consider the following events: 1. The first democratically elected communist party government formed in a State in India. 2. India's then largest bank
2018_P_92,2018,Polity,3,2006_P_94,,2006_P_94,auto,,,0.00,Right to Privacy is protected as an intrinsic part of Right to Life and Personal Liberty. Which of the following in the Constitution of India correctl
2018_P_93,2018,Economy,3,2004_P_78,,2004_P_78,auto,,,0.00,Consider the following: 1. Areca nut 2. Barley 3. Coffee 4. Finger millet 5. Groundnut 6. Sesamum 7. Turmeric The Cabinet Committee on Economic Affair
2018_P_94,2018,Environment,4,2004_P_66,1,2004_P_66,expert,pattern,weak-association,1.00,In which one of the following States is Pakhui Wildlife Sanctuary located?
2018_P_95,2018,Science & Technology,3,2003_P_12,,2003_P_12,auto,,,0.00,"With reference to India's satellite launch vehicles, consider the following statements: 1. PSLVs launch the satellites useful for Earth resources moni"
2018_P_96,2018,Economy,3,2003_P_96,,2003_P_96,auto,,,0.00,"With reference to the governance of public sector banking in India, consider the following statements: 1. Capital infusion into public sector banks by"
2018_P_97,2018,Economy,3,2017_P_81,,2017_P_81,auto,,,0.00,Consider the following items : 1. Cereal grains hulled 2. Chicken eggs cooked 3. Fish processed and canned 4. Newspapers containing advertising materi
2018_P_98,2018,Polity,3,2013_P_23,3,2013_P_23,auto,conceptual,entity-bridge,7.05,"Consider the following statements: 1. The definition of ""Critical Wildlife Habitat"" is incorporated in the Forest Rights Act, 2006. 2. For the first t"
2018_P_99,2018,Geography,0,,,,auto,,,0.00,Consider the following: 1. Birds 2. Dust blowing 3. Rain 4. Wind blowing Which of the above spread plant diseases ?
2019_P_1,2019,History,1,2011_P_59,,2011_P_59,auto,,,0.00,"With reference to Mughal India, what is/are the difference/differences between Jagirdar and Zamindar? 1. Jagirdars were holders of land assignments in"
2019_P_10,2019,History,0,,,,auto,,,0.00,"With reference to forced labour (Vishti) in India during the Gupta period, which one of the following statements is correct?"
2019_P_100,2019,Science & Technology,3,2010_P_20,2,2013_P_43,expert,elimination,mechanism-transfer,7.05,Which one of the following statements is not correct?
2019_P_11,2019,Art & Culture,3,2017_P_75,,2017_P_75,auto,,,0.00,Building 'Kalyaana Mandapas' was a notable feature in the temple construction in the kingdom of
2019_P_12,2019,History,3,2000_P_35,,2000_P_35,auto,,,0.00,"Consider the following statements: 1. In the revenue administration of Delhi Sultanate, the in-charge of revenue collection was known as 'Amil'. 2. Th"
2019_P_13,2019,History,3,2006_P_75,,2006_P_75,auto,,,0.00,Consider the following statements: 1. Saint Nimbarka was a contemporary of Akbar. 2. Saint Kabir was greatly influenced by Shaikh Ahmad Sirhindi. Whic
2019_P_14,2019,History,3,2016_P_92,,2016_P_92,auto,,,0.00,"With reference to the British colonial rule in India, consider the following statements: 1. Mahatma Gandhi was instrumental in the abolition of the sy"
2019_P_15,2019,History,1,2017_P_37,2,2017_P_37,expert,conceptual,unclassified-weak,5.40,"With reference to Indian National Movement, consider the following pairs: Person Position held 1. Sir Tej Bahadur Sapru : President, All India Liberal"
2019_P_16,2019,Art & Culture,3,2014_P_83,,2014_P_83,auto,,,0.00,"With reference to Mian Tansen, which one of the following statements is not correct?"
2019_P_17,2019,Art & Culture,3,2006_P_76,2,2006_P_75,expert,elimination,mechanism-transfer,7.05,Who among the following Mughal Emperors shifted emphasis from illustrated manuscripts to album and individual portrait?
2019_P_18,2019,Environment,3,2015_P_52,,2015_P_52,expert,,,0.00,Which one of the following National Parks lies completely in the temperate alpine zone?
2019_P_19,2019,Polity,0,,,,auto,,,0.00,Atal Innovation Mission is set up under the
2019_P_2,2019,Economy,3,2001_P_32,,2001_P_32,auto,,,0.00,"With reference to land reforms in independent India, which one of the following statements is correct?"
2019_P_20,2019,Geography,3,2001_P_75,,2001_P_75,auto,,,0.00,"On 21st June, the Sun"
2019_P_21,2019,Geography,4,2012_P_81,3,2012_P_81,expert,conceptual,mechanism-transfer,1.00,Which one of the following groups of plants was domesticated in the 'New World' and introduced into the 'Old World'?
2019_P_22,2019,Environment,3,1999_P_48,,1999_P_48,auto,,,0.00,Consider the following statements: 1. Asiatic lion is naturally found in India only. 2. Double-humped camel is naturally found in India only. 3. One-h
2019_P_23,2019,Geography,3,2008_P_50,,2008_P_50,auto,,,0.00,Consider the following pairs: Famous place River 1. Pandharpur : Chandrabhaga 2. Tiruchirappalli : Cauvery 3. Hampi : Malaprabha Which of the pairs gi
2019_P_24,2019,Economy,4,1999_P_10,3,1999_P_10,expert,conceptual,entity-bridge,1.00,"In a given year in India, official poverty lines are higher in some States than in others because"
2019_P_25,2019,Geography,3,2011_P_94,2,2011_P_94,expert,elimination,entity-bridge,7.05,In the context of which of the following do some scientists suggest the use of cirrus cloud thinning technique and the injection of sulphate aerosol i
2019_P_26,2019,Science & Technology,3,2004_P_93,,2004_P_93,auto,,,0.00,In the context of which one of the following are the terms 'pyrolysis and plasma gasification' mentioned?
